Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,148.64,150.29,147.79,148.75,70451170,AAPL,Apple Inc.,Technology,,,,,148.75,148.75,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,149.68,150.97,147.44,149.37,48955736,AAPL,Apple Inc.,Technology,,,,,148.845,148.796,0.049,0.0098,0.0392,,,,,,,48955736,0.004168,,,0.004159,,148.75,,,
2021-01-06,150.18,152.21,148.65,150.81,73043402,AAPL,Apple Inc.,Technology,,,,,149.148,148.945,0.203,0.0484,0.1546,,,,,,,121999138,0.00964,,,0.009594,,149.37,148.75,,
2021-01-07,152.44,154.28,150.74,152.61,58895970,AAPL,Apple Inc.,Technology,,,,,149.68,149.217,0.463,0.1314,0.3316,,,,,,,180895108,0.011936,,,0.011865,,150.81,149.37,148.75,
2021-01-08,152.46,153.07,151.04,151.73,87153309,AAPL,Apple Inc.,Technology,150.654,,,,149.996,149.403,0.593,0.2237,0.3693,,,,,,,93741799,-0.005766,,,-0.005783,,152.61,150.81,149.37,
2021-01-11,152.36,153.25,150.46,151.61,85990290,AAPL,Apple Inc.,Technology,151.226,,,,150.244,149.566,0.678,0.3145,0.3635,,,,,,,7751509,-0.000791,0.019227,,-0.000791,,151.73,152.61,150.81,148.75
2021-01-12,154.15,155.75,153.62,154.84,43789045,AAPL,Apple Inc.,Technology,152.32,,,,150.951,149.957,0.994,0.4504,0.5436,,,,,,,51540554,0.021305,0.03662,,0.021081,,151.61,151.73,152.61,149.37
2021-01-13,156.25,157.98,155.56,156.78,33637387,AAPL,Apple Inc.,Technology,153.514,,,,151.848,150.462,1.386,0.6375,0.7485,,,,,,,85177941,0.012529,0.039586,,0.012451,,154.84,151.61,151.73,150.81
2021-01-14,155.78,157.68,154.05,155.9,39335571,AAPL,Apple Inc.,Technology,154.172,,,,152.471,150.865,1.606,0.8312,0.7748,,,,,,,45842370,-0.005613,0.021558,,-0.005629,,156.78,154.84,151.61,152.61
2021-01-15,156.76,157.36,155.35,156.34,68960453,AAPL,Apple Inc.,Technology,155.094,,,,153.066,151.271,1.795,1.024,0.771,,,,,,,114802823,0.002822,0.030383,,0.002818,,155.9,156.78,154.84,151.73
2021-01-18,155.16,156.84,154.1,156.02,40786829,AAPL,Apple Inc.,Technology,155.976,,,,153.521,151.622,1.899,1.199,0.7,,,,,,,74015994,-0.002047,0.029088,,-0.002049,,156.34,155.9,156.78,151.61
2021-01-19,156.44,157.73,155.51,156.47,31871278,AAPL,Apple Inc.,Technology,156.302,,,,153.975,151.982,1.993,1.3578,0.6352,,,,,,,105887272,0.002884,0.010527,,0.00288,,156.02,156.34,155.9,154.84
2021-01-20,157.51,158.18,157.0,157.73,49971407,AAPL,Apple Inc.,Technology,156.492,,,,154.552,152.407,2.145,1.5152,0.6298,,,,,,,155858679,0.008053,0.006059,,0.00802,,156.47,156.02,156.34,156.78
2021-01-21,155.58,156.84,153.83,154.96,97173414,AAPL,Apple Inc.,Technology,156.304,,,,154.615,152.596,2.019,1.616,0.403,,,,,2.96,70.02,58685265,-0.017562,-0.00603,,-0.017718,,157.73,156.47,156.02,155.9
2021-01-22,151.2,152.57,150.79,151.96,54222060,AAPL,Apple Inc.,Technology,155.428,,,,154.207,152.549,1.658,1.6244,0.0336,58.38,,,,3.079,42.09,4463205,-0.01936,-0.028016,,-0.01955,,154.96,157.73,156.47,156.34
2021-01-25,151.55,152.22,150.97,151.51,42363714,AAPL,Apple Inc.,Technology,154.526,,,,153.792,152.472,1.32,1.5635,-0.2435,55.64,,,,2.916,30.01,-37900509,-0.002961,-0.028907,,-0.002966,,151.96,154.96,157.73,156.02
2021-01-26,150.87,151.39,150.35,151.05,60599223,AAPL,Apple Inc.,Technology,153.442,,,,153.37,152.367,1.003,1.4514,-0.4484,50.67,,,,2.745,8.94,-98499732,-0.003036,-0.034639,,-0.003041,,151.51,151.96,154.96,156.47
2021-01-27,153.28,153.97,151.52,152.61,52585821,AAPL,Apple Inc.,Technology,152.418,,,,153.253,152.385,0.868,1.3347,-0.4667,50.0,,,,2.701,28.86,-45913911,0.010328,-0.032461,,0.010275,,151.05,151.51,151.96,157.73
2021-01-28,151.5,153.58,150.11,151.23,15671453,AAPL,Apple Inc.,Technology,151.672,,,,152.942,152.299,0.643,1.1964,-0.5534,48.63,,,,2.804,13.88,-61585364,-0.009043,-0.024071,,-0.009084,,152.61,151.05,151.51,154.96
2021-01-29,148.52,149.81,147.71,148.78,75950247,AAPL,Apple Inc.,Technology,151.036,153.053,,,152.301,152.039,0.262,1.0095,-0.7475,43.13,158.719,147.387,0.074,2.856,10.22,-137535611,-0.0162,-0.020927,,-0.016333,,151.23,152.61,151.05,151.96
