Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,377.77,381.83,372.92,378.63,23028389,NFLX,Netflix Inc.,Media,,,,,378.63,378.63,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,384.13,388.61,380.01,385.82,42001090,NFLX,Netflix Inc.,Media,,,,,379.736,379.163,0.573,0.1146,0.4584,,,,,,,42001090,0.01899,,,0.018811,,378.63,,,
2021-01-06,379.41,385.75,372.93,378.82,35645017,NFLX,Netflix Inc.,Media,,,,,379.595,379.137,0.458,0.1833,0.2747,,,,,,,6356073,-0.018143,,,-0.01831,,385.82,378.63,,
2021-01-07,370.68,374.84,365.94,371.99,98905020,NFLX,Netflix Inc.,Media,,,,,378.425,378.608,-0.183,0.11,-0.293,,,,,,,-92548947,-0.01803,,,-0.018194,,378.82,385.82,378.63,
2021-01-08,370.0,374.6,367.44,370.58,71423358,NFLX,Netflix Inc.,Media,377.168,,,,377.218,378.013,-0.795,-0.071,-0.724,,,,,,,-163972305,-0.00379,,,-0.003798,,371.99,378.82,385.82,
2021-01-11,376.55,378.9,374.15,376.32,30492356,NFLX,Netflix Inc.,Media,376.706,,,,377.08,377.888,-0.808,-0.2184,-0.5896,,,,,,,-133479949,0.015489,-0.006101,,0.01537,,370.58,371.99,378.82,378.63
2021-01-12,378.3,380.57,374.72,377.0,45488789,NFLX,Netflix Inc.,Media,374.942,,,,377.068,377.822,-0.754,-0.3255,-0.4285,,,,,,,-87991160,0.001807,-0.02286,,0.001805,,376.32,370.58,371.99,385.82
2021-01-13,378.72,383.93,374.25,377.26,111015576,NFLX,Netflix Inc.,Media,374.63,,,,377.097,377.78,-0.683,-0.397,-0.286,,,,,,,23024416,0.00069,-0.004118,,0.000689,,377.0,376.32,370.58,378.82
2021-01-14,378.82,381.61,376.29,378.75,122466162,NFLX,Netflix Inc.,Media,375.982,,,,377.352,377.852,-0.5,-0.4176,-0.0824,,,,,,,145490578,0.00395,0.018173,,0.003942,,377.26,377.0,376.32,371.99
2021-01-15,376.05,377.36,374.97,376.63,21993288,NFLX,Netflix Inc.,Media,377.192,,,,377.241,377.762,-0.521,-0.4383,-0.0827,,,,,,,123497290,-0.005597,0.016326,,-0.005613,,378.75,377.26,377.0,370.58
2021-01-18,382.84,385.67,380.44,384.22,110138762,NFLX,Netflix Inc.,Media,378.772,,,,378.314,378.24,0.074,-0.3358,0.4098,,,,,,,233636052,0.020152,0.020993,,0.019952,,376.63,378.75,377.26,376.32
2021-01-19,389.79,395.79,381.95,387.51,105194578,NFLX,Netflix Inc.,Media,380.874,,,,379.729,378.927,0.802,-0.1083,0.9103,,,,,,,338830630,0.008563,0.027878,,0.008526,,384.22,376.63,378.75,377.0
2021-01-20,401.97,406.53,398.52,402.32,55656057,NFLX,Netflix Inc.,Media,385.886,,,,383.205,380.66,2.545,0.4224,2.1226,,,,,,,394486687,0.038218,0.066426,,0.037506,,387.51,384.22,376.63,377.26
2021-01-21,404.05,406.06,401.6,403.23,47350006,NFLX,Netflix Inc.,Media,390.782,,,,386.285,382.331,3.954,1.1287,2.8253,,,,,9.366,91.87,441836693,0.002262,0.064634,,0.002259,,402.32,387.51,384.22,378.75
2021-01-22,400.47,401.47,399.09,400.23,35936791,NFLX,Netflix Inc.,Media,395.502,,,,388.431,383.657,4.774,1.8578,2.9162,67.33,,,,9.026,84.48,405899902,-0.00744,0.062661,,-0.007468,,403.23,402.32,387.51,376.63
2021-01-25,401.44,405.48,398.94,402.04,23570140,NFLX,Netflix Inc.,Media,399.066,,,,390.524,385.019,5.505,2.5872,2.9178,64.24,,,,8.78,88.94,429470042,0.004522,0.04638,,0.004512,,400.23,403.23,402.32,384.22
2021-01-26,411.07,414.6,406.75,411.73,61276037,NFLX,Netflix Inc.,Media,403.91,,,,393.787,386.998,6.789,3.4276,3.3614,77.6,,,,8.756,94.1,490746079,0.024102,0.062502,,0.023816,,402.04,400.23,403.23,387.51
2021-01-27,411.71,414.87,410.51,413.43,45149941,NFLX,Netflix Inc.,Media,406.132,,,,396.809,388.955,7.854,4.3129,3.5411,88.02,,,,8.148,96.96,535896020,0.004129,0.027615,,0.00412,,411.73,402.04,400.23,402.32
2021-01-28,398.9,402.42,392.11,397.56,64908286,NFLX,Netflix Inc.,Media,404.998,,,,396.924,389.593,7.331,4.9165,2.4145,69.56,,,,9.159,57.49,470987734,-0.038386,-0.014061,,-0.039142,,413.43,411.73,402.04,403.23
2021-01-29,393.74,397.9,388.97,393.88,65845391,NFLX,Netflix Inc.,Media,403.728,388.398,,,396.456,389.91,6.546,5.2424,1.3036,63.12,415.368,361.428,0.1389,9.203,48.33,405142343,-0.009256,-0.015866,,-0.0093,,397.56,413.43,411.73,400.23
2021-02-01,381.5,385.06,376.51,379.87,226504334,NFLX,Netflix Inc.,Media,399.294,388.46,,,393.904,389.167,4.737,5.1413,-0.4043,51.79,415.341,361.579,0.1384,10.026,13.84,178638009,-0.035569,-0.055144,0.003275,-0.036217,0.01891,393.88,397.56,413.43,402.04
2021-02-02,386.84,392.82,383.54,387.36,102517468,NFLX,Netflix Inc.,Media,394.42,388.537,,,392.898,389.033,3.865,4.886,-1.021,55.77,415.395,361.679,0.1383,10.259,31.05,281155477,0.019717,-0.059189,0.003991,0.019525,0.018948,379.87,393.88,397.56,411.73
2021-02-03,381.32,384.66,379.59,381.67,69419860,NFLX,Netflix Inc.,Media,388.068,388.679,,,391.17,388.487,2.683,4.4454,-1.7624,51.59,415.349,362.009,0.1372,10.434,16.79,211735617,-0.014689,-0.076821,0.007523,-0.014798,0.018783,387.36,379.87,393.88,413.43
2021-02-04,381.37,386.76,379.37,382.67,13871633,NFLX,Netflix Inc.,Media,385.09,389.213,,,389.862,388.057,1.805,3.9174,-2.1124,53.34,414.886,363.54,0.1319,10.692,16.06,225607250,0.00262,-0.037453,0.02871,0.002617,0.018269,381.67,387.36,379.87,397.56
2021-02-05,371.6,375.27,367.87,371.95,63269833,NFLX,Netflix Inc.,Media,380.704,389.282,,,387.107,386.863,0.244,3.1827,-2.9387,43.45,414.752,363.812,0.1309,11.104,8.68,162337417,-0.028014,-0.055677,0.003697,-0.028414,0.019431,382.67,381.67,387.36,393.88
2021-02-08,371.76,377.03,367.96,373.14,129202835,NFLX,Netflix Inc.,Media,379.358,389.122,,,384.958,385.847,-0.889,2.3683,-3.2573,42.15,414.969,363.275,0.1328,10.763,11.21,291540252,0.003199,-0.017717,-0.00845,0.003194,0.019119,371.95,382.67,381.67,379.87
2021-02-09,378.56,379.83,377.03,378.1,38700277,NFLX,Netflix Inc.,Media,377.506,389.178,,,383.903,385.273,-1.37,1.6207,-2.9907,35.18,414.921,363.435,0.1323,9.882,21.77,330240529,0.013293,-0.023905,0.002918,0.013205,0.019357,373.14,371.95,382.67,387.36
2021-02-10,377.79,382.07,373.21,377.67,186127441,NFLX,Netflix Inc.,Media,376.706,389.198,,,382.944,384.71,-1.766,0.9433,-2.7093,34.27,414.902,363.494,0.1321,10.196,20.85,144113088,-0.001137,-0.01048,0.001087,-0.001138,0.019359,378.1,373.14,371.95,381.67
2021-02-11,379.97,383.62,375.65,378.3,69292844,NFLX,Netflix Inc.,Media,375.832,389.176,,,382.23,384.235,-2.005,0.3537,-2.3587,36.1,414.919,363.433,0.1323,10.47,22.19,213405932,0.001668,-0.01142,-0.001188,0.001667,0.019341,377.67,378.1,373.14,382.67
2021-02-12,365.85,370.39,361.5,367.46,59665621,NFLX,Netflix Inc.,Media,374.934,388.717,,,379.957,382.992,-3.035,-0.3241,-2.7109,30.33,415.698,361.736,0.1388,11.203,11.17,153740311,-0.028655,-0.012072,-0.024348,-0.029073,0.020379,378.3,377.67,378.1,371.95
2021-02-15,371.23,376.83,366.14,369.88,27592972,NFLX,Netflix Inc.,Media,374.282,388.0,,,378.407,382.021,-3.614,-0.982,-2.632,24.05,416.218,359.782,0.1455,11.069,15.7,181333283,0.006586,-0.008737,-0.037322,0.006564,0.01986,367.46,378.3,377.67,373.14
