Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,386.41,389.69,383.08,385.26,33899164,NVDA,NVIDIA Corp.,Chips,,,,,385.26,385.26,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,384.43,387.73,380.22,382.84,84040864,NVDA,NVIDIA Corp.,Chips,,,,,384.888,385.081,-0.193,-0.0386,-0.1544,,,,,,,-84040864,-0.006281,,,-0.006301,,385.26,,,
2021-01-06,379.83,385.28,375.64,381.3,12429519,NVDA,NVIDIA Corp.,Chips,,,,,384.336,384.801,-0.465,-0.1239,-0.3411,,,,,,,-96470383,-0.004023,,,-0.004031,,382.84,385.26,,
2021-01-07,365.2,370.78,361.34,366.85,36008660,NVDA,NVIDIA Corp.,Chips,,,,,381.646,383.471,-1.825,-0.4641,-1.3609,,,,,,,-132479043,-0.037897,,,-0.038633,,381.3,382.84,385.26,
2021-01-08,358.84,361.11,355.97,358.33,67257034,NVDA,NVIDIA Corp.,Chips,374.916,,,,378.059,381.609,-3.55,-1.0813,-2.4687,,,,,,,-199736077,-0.023225,,,-0.023499,,366.85,381.3,382.84,
2021-01-11,364.57,367.47,360.06,363.72,86454476,NVDA,NVIDIA Corp.,Chips,370.608,,,,375.853,380.284,-4.431,-1.7512,-2.6798,,,,,,,-113281601,0.015042,-0.05591,,0.01493,,358.33,366.85,381.3,385.26
2021-01-12,367.46,369.46,364.05,367.54,78752609,NVDA,NVIDIA Corp.,Chips,367.548,,,,374.574,379.34,-4.766,-2.3542,-2.4118,,,,,,,-34528992,0.010503,-0.039964,,0.010448,,363.72,358.33,366.85,382.84
2021-01-13,366.1,368.07,364.74,366.07,87381113,NVDA,NVIDIA Corp.,Chips,364.502,,,,373.266,378.357,-5.091,-2.9015,-2.1895,,,,,,,-121910105,-0.004,-0.039942,,-0.004008,,367.54,363.72,358.33,381.3
2021-01-14,369.91,372.69,366.63,368.28,55485633,NVDA,NVIDIA Corp.,Chips,364.788,,,,372.499,377.61,-5.111,-3.3434,-1.7676,,,,,,,-66424472,0.006037,0.003898,,0.006019,,366.07,367.54,363.72,366.85
2021-01-15,363.75,364.94,362.96,364.01,46488737,NVDA,NVIDIA Corp.,Chips,365.924,,,,371.193,376.603,-5.41,-3.7567,-1.6533,,,,,,,-112913209,-0.011594,0.015851,,-0.011662,,368.28,366.07,367.54,358.33
2021-01-18,357.21,360.88,351.86,355.74,16203090,NVDA,NVIDIA Corp.,Chips,364.328,,,,368.815,375.057,-6.242,-4.2538,-1.9882,,,,,,,-129116299,-0.022719,-0.02194,,-0.022981,,364.01,368.28,366.07,363.72
2021-01-19,351.59,354.71,349.47,352.2,43241127,NVDA,NVIDIA Corp.,Chips,361.26,,,,366.259,373.364,-7.105,-4.824,-2.281,,,,,,,-172357426,-0.009951,-0.041737,,-0.010001,,355.74,364.01,368.28,367.54
2021-01-20,372.93,376.56,365.66,370.27,25119251,NVDA,NVIDIA Corp.,Chips,362.1,,,,366.876,373.135,-6.259,-5.111,-1.148,,,,,,,-147238175,0.051306,0.011473,,0.050033,,352.2,355.74,364.01,366.07
2021-01-21,368.24,370.46,367.21,369.22,72370128,NVDA,NVIDIA Corp.,Chips,362.288,,,,367.237,372.845,-5.608,-5.2104,-0.3976,,,,,9.341,49.1,-219608303,-0.002836,0.002552,,-0.00284,,370.27,352.2,355.74,368.28
2021-01-22,369.38,372.35,364.34,368.07,22006048,NVDA,NVIDIA Corp.,Chips,363.1,,,,367.365,372.491,-5.126,-5.1935,0.0675,38.72,,,,9.441,48.61,-241614351,-0.003115,0.011154,,-0.00312,,369.22,370.27,352.2,364.01
2021-01-25,372.49,377.41,367.47,373.57,45555466,NVDA,NVIDIA Corp.,Chips,366.666,,,,368.32,372.571,-4.251,-5.005,0.754,44.15,,,,9.615,67.3,-196058885,0.014943,0.050121,,0.014832,,368.07,369.22,370.27,355.74
2021-01-26,385.45,391.21,381.26,384.54,24481462,NVDA,NVIDIA Corp.,Chips,373.134,,,,370.815,373.458,-2.643,-4.5326,1.8896,51.83,,,,10.186,84.02,-171577423,0.029365,0.091823,,0.028942,,373.57,368.07,369.22,352.2
2021-01-27,385.49,386.47,383.49,385.5,49645505,NVDA,NVIDIA Corp.,Chips,376.18,,,,373.074,374.35,-1.276,-3.8813,2.6053,62.4,,,,8.974,86.32,-121931918,0.002496,0.041132,,0.002493,,384.54,373.57,368.07,370.27
2021-01-28,395.13,399.65,388.08,394.8,46204831,NVDA,NVIDIA Corp.,Chips,381.296,,,,376.417,375.865,0.552,-2.9946,3.5466,74.0,,,,9.207,90.33,-75727087,0.024125,0.069281,,0.023838,,385.5,384.54,373.57,369.22
2021-01-29,393.74,397.61,389.04,392.96,17459615,NVDA,NVIDIA Corp.,Chips,386.274,372.554,,,378.962,377.131,1.831,-2.0295,3.8605,70.19,396.712,348.396,0.1297,9.166,86.67,-93186702,-0.004661,0.067623,,-0.004671,,394.8,385.5,384.54,368.07
2021-02-01,395.05,400.11,391.18,394.76,61471743,NVDA,NVIDIA Corp.,Chips,390.512,373.028,,,381.392,378.437,2.955,-1.0326,3.9876,69.33,398.572,347.484,0.137,9.394,89.44,-31714959,0.004581,0.056723,0.024659,0.00457,0.019756,392.96,394.8,385.5,373.57
2021-02-02,395.08,397.72,388.87,394.89,42151068,NVDA,NVIDIA Corp.,Chips,392.582,373.631,,,383.469,379.656,3.813,-0.0635,3.8765,70.87,400.674,346.588,0.1448,9.789,89.69,10436109,0.000329,0.026915,0.031475,0.000329,0.019678,394.76,392.96,394.8,384.54
2021-02-03,401.72,409.29,398.77,403.97,50844737,NVDA,NVIDIA Corp.,Chips,396.276,374.764,,,386.623,381.457,5.166,0.9824,4.1836,73.5,404.885,344.643,0.1607,10.344,91.11,61280846,0.022994,0.047912,0.059454,0.022733,0.020182,394.89,394.76,392.96,385.5
