Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,168.09,169.05,167.61,168.32,93536183,AMZN,Amazon.com,Retail,,,,,168.32,168.32,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,170.53,171.98,169.3,170.69,75979874,AMZN,Amazon.com,Retail,,,,,168.685,168.496,0.189,0.0378,0.1512,,,,,,,75979874,0.01408,,,0.013982,,168.32,,,
2021-01-06,168.01,170.42,165.31,168.08,30017681,AMZN,Amazon.com,Retail,,,,,168.592,168.465,0.127,0.0556,0.0714,,,,,,,45962193,-0.015291,,,-0.015409,,170.69,168.32,,
2021-01-07,166.21,167.63,165.34,166.98,26872579,AMZN,Amazon.com,Retail,,,,,168.344,168.355,-0.011,0.0423,-0.0533,,,,,,,19089614,-0.006545,,,-0.006566,,168.08,170.69,168.32,
2021-01-08,166.5,168.24,165.39,167.38,11493883,AMZN,Amazon.com,Retail,168.29,,,,168.195,168.283,-0.088,0.0162,-0.1042,,,,,,,30583497,0.002395,,,0.002393,,166.98,168.08,170.69,
2021-01-11,165.13,166.48,163.9,164.88,120880398,AMZN,Amazon.com,Retail,167.602,,,,167.685,168.031,-0.346,-0.0562,-0.2898,,,,,,,-90296901,-0.014936,-0.020437,,-0.015049,,167.38,166.98,168.08,168.32
2021-01-12,161.79,163.13,159.91,161.31,51246925,AMZN,Amazon.com,Retail,165.726,,,,166.705,167.533,-0.828,-0.2106,-0.6174,,,,,,,-141543826,-0.021652,-0.054953,,-0.02189,,164.88,167.38,166.98,170.69
2021-01-13,160.75,161.15,160.07,160.46,154819115,AMZN,Amazon.com,Retail,164.202,,,,165.744,167.009,-1.265,-0.4214,-0.8436,,,,,,,-296362941,-0.005269,-0.045336,,-0.005283,,161.31,164.88,167.38,168.08
2021-01-14,157.95,159.7,156.6,158.55,44568188,AMZN,Amazon.com,Retail,162.516,,,,164.637,166.382,-1.745,-0.6862,-1.0588,,,,,,,-340931129,-0.011903,-0.050485,,-0.011975,,160.46,161.31,164.88,166.98
2021-01-15,161.93,163.3,160.35,161.7,59238791,AMZN,Amazon.com,Retail,161.38,,,,164.185,166.035,-1.85,-0.9189,-0.9311,,,,,,,-281692338,0.019868,-0.033935,,0.019673,,158.55,160.46,161.31,167.38
2021-01-18,162.44,163.61,161.07,162.93,85353553,AMZN,Amazon.com,Retail,160.99,,,,163.992,165.805,-1.813,-1.0977,-0.7153,,,,,,,-196338785,0.007607,-0.011827,,0.007578,,161.7,158.55,160.46,164.88
2021-01-19,163.99,164.92,163.12,163.79,133663923,AMZN,Amazon.com,Retail,161.486,,,,163.961,165.656,-1.695,-1.2172,-0.4778,,,,,,,-62674862,0.005278,0.015374,,0.005264,,162.93,161.7,158.55,161.31
2021-01-20,164.58,165.12,163.52,164.03,67534325,AMZN,Amazon.com,Retail,162.2,,,,163.972,165.536,-1.564,-1.2866,-0.2774,,,,,,,4859463,0.001465,0.022249,,0.001464,,163.79,162.93,161.7,160.46
2021-01-21,165.19,167.39,163.72,165.01,50072268,AMZN,Amazon.com,Retail,163.492,,,,164.131,165.497,-1.366,-1.3024,-0.0636,,,,,3.155,54.68,54931731,0.005975,0.040744,,0.005957,,164.03,163.79,162.93,158.55
2021-01-22,165.89,166.48,164.55,165.16,50845804,AMZN,Amazon.com,Retail,164.184,,,,164.29,165.472,-1.182,-1.2784,0.0964,42.79,,,,3.19,55.66,105777535,0.000909,0.021398,,0.000909,,165.01,164.03,163.79,161.7
2021-01-25,166.57,167.91,165.11,166.64,26696210,AMZN,Amazon.com,Retail,164.926,,,,164.651,165.558,-0.907,-1.2041,0.2971,40.37,,,,3.129,72.65,132473745,0.008961,0.022771,,0.008921,,165.16,165.01,164.03,162.93
2021-01-26,168.58,169.9,167.3,168.69,39761268,AMZN,Amazon.com,Retail,165.906,,,,165.273,165.79,-0.517,-1.0667,0.5497,51.49,,,,2.977,90.9,172235013,0.012302,0.029916,,0.012227,,166.64,165.16,165.01,163.79
2021-01-27,171.94,172.6,170.88,171.9,51560439,AMZN,Amazon.com,Retail,167.48,,,,166.292,166.243,0.049,-0.8435,0.8925,60.89,,,,3.061,95.63,223795452,0.019029,0.047979,,0.01885,,168.69,166.64,165.16,164.03
2021-01-28,171.44,173.19,170.46,172.14,114566945,AMZN,Amazon.com,Retail,168.906,,,,167.192,166.68,0.512,-0.5724,1.0844,60.62,,,,3.052,93.67,338362397,0.001396,0.04321,,0.001395,,171.9,168.69,166.64,165.01
2021-01-29,173.36,174.99,171.98,173.57,38628760,AMZN,Amazon.com,Retail,170.588,166.11,,,168.173,167.19,0.983,-0.2613,1.2443,70.35,174.313,157.907,0.0988,3.019,92.28,376991157,0.008307,0.05092,,0.008273,,172.14,171.9,168.69,165.16
2021-02-01,174.86,176.4,173.32,175.03,94596056,AMZN,Amazon.com,Retail,172.266,166.446,,,169.228,167.771,1.457,0.0823,1.3747,85.65,175.531,157.361,0.1092,2.884,93.08,471587213,0.008412,0.050348,0.039865,0.008376,0.011512,173.57,172.14,171.9,166.64
2021-02-02,176.89,179.6,174.81,177.04,47604162,AMZN,Amazon.com,Retail,173.936,166.763,,,170.43,168.457,1.973,0.4605,1.5125,90.64,176.86,156.666,0.1211,3.137,88.87,519191375,0.011484,0.049499,0.037202,0.011418,0.011384,175.03,173.57,172.14,168.69
2021-02-03,177.75,178.85,176.5,177.61,105441694,AMZN,Amazon.com,Retail,175.078,167.24,,,171.534,169.135,2.399,0.8482,1.5508,,178.438,156.042,0.1339,3.029,89.66,624633069,0.00322,0.033217,0.056699,0.003214,0.010638,177.04,175.03,173.57,171.9
2021-02-04,177.02,179.94,175.19,177.81,75042641,AMZN,Amazon.com,Retail,176.212,167.782,,,172.5,169.778,2.722,1.2229,1.4991,,179.934,155.63,0.1449,3.029,88.71,699675710,0.001126,0.032938,0.064858,0.001125,0.01042,177.61,177.04,175.03,172.14
2021-02-05,177.14,179.11,175.57,177.75,72062963,AMZN,Amazon.com,Retail,177.048,168.3,,,173.308,170.368,2.94,1.5663,1.3737,99.6,181.239,155.361,0.1538,3.101,86.98,627612747,-0.000337,0.024083,0.061955,-0.000337,0.010448,177.81,177.61,177.04,173.57
