Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,136.21,137.79,134.44,136.0,39712135,GOOGL,Alphabet Inc.,Technology,,,,,136.0,136.0,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,136.37,136.98,136.1,136.64,46106087,GOOGL,Alphabet Inc.,Technology,,,,,136.098,136.047,0.051,0.0102,0.0408,,,,,,,46106087,0.004706,,,0.004695,,136.0,,,
2021-01-06,137.05,138.77,134.89,137.02,45330435,GOOGL,Alphabet Inc.,Technology,,,,,136.24,136.119,0.121,0.0324,0.0886,,,,,,,91436522,0.002781,,,0.002777,,136.64,136.0,,
2021-01-07,135.25,136.0,134.73,135.5,55732831,GOOGL,Alphabet Inc.,Technology,,,,,136.126,136.074,0.052,0.0363,0.0157,,,,,,,35703691,-0.011093,,,-0.011155,,137.02,136.64,136.0,
2021-01-08,135.2,135.99,134.81,135.5,48867925,GOOGL,Alphabet Inc.,Technology,136.132,,,,136.03,136.031,-0.001,0.0288,-0.0298,,,,,,,35703691,0.0,,,0.0,,135.5,137.02,136.64,
2021-01-11,138.83,140.47,137.98,139.0,79272650,GOOGL,Alphabet Inc.,Technology,136.732,,,,136.487,136.251,0.236,0.0703,0.1657,,,,,,,114976341,0.02583,0.022059,,0.025502,,135.5,135.5,137.02,136.0
2021-01-12,139.73,142.14,137.81,140.02,104778278,GOOGL,Alphabet Inc.,Technology,137.408,,,,137.03,136.53,0.5,0.1562,0.3438,,,,,,,219754619,0.007338,0.024737,,0.007311,,139.0,135.5,135.5,136.64
2021-01-13,140.55,141.39,139.53,140.27,30679057,GOOGL,Alphabet Inc.,Technology,138.058,,,,137.529,136.807,0.722,0.2694,0.4526,,,,,,,250433676,0.001785,0.023719,,0.001784,,140.02,139.0,135.5,137.02
2021-01-14,141.59,142.91,141.04,141.9,41530409,GOOGL,Alphabet Inc.,Technology,139.338,,,,138.201,137.184,1.017,0.4189,0.5981,,,,,,,291964085,0.01162,0.047232,,0.011553,,140.27,140.02,139.0,135.5
2021-01-15,142.79,143.73,141.87,143.18,85883753,GOOGL,Alphabet Inc.,Technology,140.874,,,,138.967,137.629,1.338,0.6027,0.7353,,,,,,,377847838,0.00902,0.056679,,0.00898,,141.9,140.27,140.02,135.5
