Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,252.97,255.78,250.17,253.46,30185433,META,Meta Platforms,Social,,,,,253.46,253.46,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,248.2,248.88,246.93,247.84,72657375,META,Meta Platforms,Social,,,,,252.595,253.044,-0.449,-0.0898,-0.3592,,,,,,,-72657375,-0.022173,,,-0.022423,,253.46,,,
2021-01-06,248.63,251.6,247.22,249.35,42129156,META,Meta Platforms,Social,,,,,252.096,252.77,-0.674,-0.2066,-0.4674,,,,,,,-30528219,0.006093,,,0.006074,,247.84,253.46,,
2021-01-07,246.37,247.92,243.7,246.07,84512297,META,Meta Platforms,Social,,,,,251.169,252.274,-1.105,-0.3863,-0.7187,,,,,,,-115040516,-0.013154,,,-0.013241,,249.35,247.84,253.46,
2021-01-08,245.55,247.74,244.38,245.58,71464259,META,Meta Platforms,Social,248.46,,,,250.309,251.778,-1.469,-0.6028,-0.8662,,,,,,,-186504775,-0.001991,,,-0.001993,,246.07,249.35,247.84,
2021-01-11,238.96,242.0,235.89,238.85,109777499,META,Meta Platforms,Social,245.538,,,,248.546,250.82,-2.274,-0.9371,-1.3369,,,,,,,-296282274,-0.027405,-0.057642,,-0.027787,,245.58,246.07,249.35,253.46
2021-01-12,240.28,243.19,236.89,240.31,32268297,META,Meta Platforms,Social,244.032,,,,247.279,250.042,-2.763,-1.3023,-1.4607,,,,,,,-264013977,0.006113,-0.030383,,0.006094,,238.85,245.58,246.07,247.84
2021-01-13,247.82,250.47,245.39,248.27,88595601,META,Meta Platforms,Social,243.816,,,,247.432,249.911,-2.479,-1.5376,-0.9414,,,,,,,-175418376,0.033124,-0.004331,,0.032587,,240.31,238.85,245.58,249.35
2021-01-14,247.77,249.94,246.57,248.32,31811179,META,Meta Platforms,Social,244.266,,,,247.568,249.793,-2.225,-1.6751,-0.5499,,,,,,,-143607197,0.000201,0.009144,,0.000201,,248.27,240.31,238.85,246.07
2021-01-15,245.24,248.36,242.02,244.45,48379553,META,Meta Platforms,Social,244.04,,,,247.089,249.397,-2.308,-1.8017,-0.5063,,,,,,,-191986750,-0.015585,-0.004601,,-0.015707,,248.32,248.27,240.31,245.58
2021-01-18,246.37,248.73,242.88,244.99,30298763,META,Meta Platforms,Social,245.268,,,,246.766,249.071,-2.305,-1.9023,-0.4027,,,,,,,-161687987,0.002209,0.025707,,0.002207,,244.45,248.32,248.27,238.85
2021-01-19,246.77,249.15,244.48,246.57,61840708,META,Meta Platforms,Social,246.52,,,,246.736,248.885,-2.149,-1.9517,-0.1973,,,,,,,-99847279,0.006449,0.02605,,0.006429,,244.99,244.45,248.32,240.31
2021-01-20,256.98,258.16,255.01,256.96,110722608,META,Meta Platforms,Social,248.258,,,,248.309,249.483,-1.174,-1.7961,0.6221,,,,,,,10875329,0.042138,0.035002,,0.041275,,246.57,244.99,244.45,248.27
2021-01-21,254.48,257.59,252.13,255.42,100911248,META,Meta Platforms,Social,249.678,,,,249.403,249.923,-0.52,-1.5409,1.0209,,,,,6.354,87.7,-90035919,-0.005993,0.028592,,-0.006011,,256.96,246.57,244.99,248.32
2021-01-22,248.23,250.75,247.41,249.55,62036631,META,Meta Platforms,Social,250.698,,,,249.425,249.896,-0.471,-1.3269,0.8559,46.16,,,,6.526,61.34,-152072550,-0.022982,0.020863,,-0.02325,,255.42,256.96,246.57,244.45
2021-01-25,249.31,254.03,246.99,250.52,45957199,META,Meta Platforms,Social,251.804,,,,249.594,249.942,-0.348,-1.1311,0.7831,52.9,,,,6.562,65.69,-106115351,0.003887,0.022572,,0.003879,,249.55,255.42,256.96,244.99
2021-01-26,253.94,256.1,252.43,253.54,49466277,META,Meta Platforms,Social,253.198,,,,250.201,250.208,-0.007,-0.9063,0.8993,54.39,,,,6.648,79.25,-56649074,0.012055,0.028268,,0.011983,,250.52,249.55,255.42,246.57
2021-01-27,256.43,259.73,253.01,257.8,125032852,META,Meta Platforms,Social,253.366,,,,251.37,250.771,0.599,-0.6053,1.2043,62.04,,,,6.724,91.9,68383778,0.016802,0.003269,,0.016662,,253.54,250.52,249.55,256.96
2021-01-28,261.99,263.66,259.26,261.47,30176522,META,Meta Platforms,Social,254.576,,,,252.924,251.563,1.361,-0.212,1.573,65.31,,,,6.903,92.11,98560300,0.014236,0.023686,,0.014135,,257.8,253.54,250.52,255.42
2021-01-29,269.35,270.98,268.53,270.24,66136013,META,Meta Platforms,Social,258.714,250.478,,,255.588,252.947,2.641,0.3586,2.2824,79.09,265.218,235.738,0.1177,6.89,97.83,164696313,0.033541,0.082909,,0.032991,,261.47,257.8,253.54,249.55
2021-02-01,268.48,270.46,267.28,268.36,98184290,META,Meta Platforms,Social,262.282,251.223,,,257.553,254.088,3.465,0.9799,2.4851,75.8,267.968,234.478,0.1333,6.667,90.95,66512023,-0.006957,0.071212,0.058786,-0.006981,0.018881,270.24,261.47,257.8,250.52
2021-02-02,267.07,268.32,265.9,267.39,49729813,META,Meta Platforms,Social,265.052,252.2,,,259.066,255.074,3.992,1.5823,2.4097,70.18,270.338,234.062,0.1438,6.117,87.6,16782210,-0.003615,0.054626,0.078882,-0.003621,0.018004,268.36,270.24,261.47,253.54
2021-02-03,259.5,262.28,258.24,260.33,87186346,META,Meta Platforms,Social,265.558,252.75,,,259.261,255.463,3.798,2.0254,1.7726,61.04,271.187,234.313,0.1459,6.53,63.23,-70404136,-0.026403,0.009814,0.044034,-0.026758,0.01924,267.39,268.36,270.24,257.8
