Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,311.41,315.09,308.28,311.7,58049766,MSFT,Microsoft Corp.,Technology,,,,,311.7,311.7,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,311.3,315.85,308.0,312.25,29435374,MSFT,Microsoft Corp.,Technology,,,,,311.785,311.741,0.044,0.0088,0.0352,,,,,,,29435374,0.001765,,,0.001763,,311.7,,,
2021-01-06,309.83,312.02,307.69,310.9,33386479,MSFT,Microsoft Corp.,Technology,,,,,311.649,311.678,-0.029,0.0012,-0.0302,,,,,,,-3951105,-0.004323,,,-0.004333,,312.25,311.7,,
2021-01-07,310.14,312.15,307.49,310.42,47475816,MSFT,Microsoft Corp.,Technology,,,,,311.46,311.585,-0.125,-0.024,-0.101,,,,,,,-51426921,-0.001544,,,-0.001545,,310.9,312.25,311.7,
2021-01-08,306.08,308.72,300.19,305.02,30339223,MSFT,Microsoft Corp.,Technology,310.058,,,,310.469,311.099,-0.63,-0.1452,-0.4848,,,,,,,-81766144,-0.017396,,,-0.017549,,310.42,310.9,312.25,
2021-01-11,308.25,311.6,305.46,309.21,52755723,MSFT,Microsoft Corp.,Technology,309.56,,,,310.275,310.959,-0.684,-0.253,-0.431,,,,,,,-29010421,0.013737,-0.007988,,0.013643,,305.02,310.42,310.9,311.7
2021-01-12,314.17,316.97,308.69,313.38,65116212,MSFT,Microsoft Corp.,Technology,309.786,,,,310.753,311.138,-0.385,-0.2794,-0.1056,,,,,,,36105791,0.013486,0.003619,,0.013396,,309.21,305.02,310.42,312.25
2021-01-13,315.07,318.14,313.58,315.83,96355806,MSFT,Microsoft Corp.,Technology,310.772,,,,311.534,311.486,0.048,-0.2139,0.2619,,,,,,,132461597,0.007818,0.015857,,0.007788,,313.38,309.21,305.02,310.9
2021-01-14,309.56,315.31,305.52,311.22,26156068,MSFT,Microsoft Corp.,Technology,310.932,,,,311.486,311.466,0.02,-0.1671,0.1871,,,,,,,106305529,-0.014596,0.002577,,-0.014704,,315.83,313.38,309.21,310.42
2021-01-15,308.98,311.46,304.84,308.47,55297538,MSFT,Microsoft Corp.,Technology,311.622,,,,311.022,311.244,-0.222,-0.1781,-0.0439,,,,,,,51007991,-0.008836,0.011311,,-0.008875,,311.22,315.83,313.38,305.02
2021-01-18,310.86,312.05,308.45,309.35,48175670,MSFT,Microsoft Corp.,Technology,311.65,,,,310.765,311.104,-0.339,-0.2103,-0.1287,,,,,,,99183661,0.002853,0.000453,,0.002849,,308.47,311.22,315.83,309.21
2021-01-19,310.13,313.47,306.71,310.93,16495939,MSFT,Microsoft Corp.,Technology,311.16,,,,310.79,311.091,-0.301,-0.2284,-0.0726,,,,,,,115679600,0.005107,-0.007818,,0.005094,,309.35,308.47,311.22,313.38
2021-01-20,306.78,312.17,303.56,308.23,25400039,MSFT,Microsoft Corp.,Technology,309.64,,,,310.396,310.879,-0.483,-0.2793,-0.2037,,,,,,,90279561,-0.008684,-0.024064,,-0.008722,,310.93,309.35,308.47,315.83
2021-01-21,304.92,306.13,303.6,304.51,66485998,MSFT,Microsoft Corp.,Technology,308.298,,,,309.491,310.407,-0.916,-0.4067,-0.5093,,,,,6.733,24.07,23793563,-0.012069,-0.02156,,-0.012142,,308.23,310.93,309.35,311.22
2021-01-22,302.37,304.49,301.38,303.21,22207474,MSFT,Microsoft Corp.,Technology,307.246,,,,308.524,309.874,-1.35,-0.5953,-0.7547,38.25,,,,6.47,16.82,1586089,-0.004269,-0.017052,,-0.004278,,304.51,308.23,310.93,308.47
2021-01-25,301.08,305.51,297.69,300.6,47845196,MSFT,Microsoft Corp.,Technology,305.496,,,,307.305,309.187,-1.882,-0.8527,-1.0293,34.75,,,,6.468,14.23,-46259107,-0.008608,-0.028285,,-0.008645,,303.21,304.51,308.23,309.35
2021-01-26,308.26,309.57,305.89,307.2,13993004,MSFT,Microsoft Corp.,Technology,304.75,,,,307.289,309.04,-1.751,-1.0323,-0.7187,45.74,,,,6.783,46.5,-32266103,0.021956,-0.011996,,0.021719,,300.6,303.21,304.51,310.93
2021-01-27,311.15,311.84,309.46,310.84,47004887,MSFT,Microsoft Corp.,Technology,305.272,,,,307.835,309.173,-1.338,-1.0935,-0.2445,50.45,,,,6.781,64.3,14738784,0.011849,0.008468,,0.011779,,307.2,300.6,303.21,308.23
2021-01-28,309.43,311.77,306.25,308.68,14583892,MSFT,Microsoft Corp.,Technology,306.106,,,,307.965,309.137,-1.172,-1.1092,-0.0628,54.22,,,,6.445,53.74,154892,-0.006949,0.013694,,-0.006973,,310.84,307.2,300.6,304.51
2021-01-29,312.85,313.68,310.73,312.08,34788117,MSFT,Microsoft Corp.,Technology,307.88,309.202,,,308.598,309.355,-0.757,-1.0387,0.2817,53.37,316.522,301.882,0.0473,6.332,70.37,34943009,0.011015,0.029254,,0.010954,,308.68,310.84,307.2,303.21
2021-02-01,317.46,319.69,312.15,316.52,38450810,MSFT,Microsoft Corp.,Technology,311.064,309.442,,,309.817,309.886,-0.069,-0.8448,0.7758,53.66,317.398,301.486,0.0514,6.284,85.59,73393819,0.014227,0.052961,0.015464,0.014127,0.011171,312.08,308.68,310.84,300.6
2021-02-02,320.45,321.93,318.35,320.41,53830398,MSFT,Microsoft Corp.,Technology,313.706,309.85,,,311.447,310.665,0.782,-0.5194,1.3014,55.17,319.138,300.562,0.06,6.331,93.73,127224217,0.01229,0.043001,0.026133,0.012215,0.011461,316.52,312.08,308.68,307.2
2021-02-03,323.48,327.01,320.29,322.73,42969576,MSFT,Microsoft Corp.,Technology,316.084,310.442,,,313.183,311.559,1.624,-0.0907,1.7147,63.71,321.372,299.512,0.0704,6.074,85.4,170193793,0.007241,0.038251,0.038051,0.007215,0.011453,320.41,316.52,312.08,310.84
2021-02-04,322.58,327.62,318.46,322.42,23818978,MSFT,Microsoft Corp.,Technology,318.832,311.042,,,314.604,312.363,2.241,0.3756,1.8654,67.64,323.214,298.87,0.0783,6.256,82.63,146374815,-0.000961,0.044512,0.038657,-0.000961,0.011445,322.73,320.41,316.52,308.68
