Date,Open,High,Low,Close,Volume,Ticker,Name,Sector,MA5,MA20,MA50,MA200,EMA12,EMA26,MACD,Signal,Hist,RSI,BB_upper,BB_lower,BB_width,ATR,Stoch,OBV,Ret1d,Ret5d,Ret20d,LogRet,Vol20,Lag1,Lag2,Lag3,Lag5
2021-01-04,199.6,201.13,198.83,199.84,42534972,TSLA,Tesla Inc.,EV,,,,,199.84,199.84,0.0,0.0,0.0,,,,,,,0,,,,,,,,,
2021-01-05,197.87,198.81,195.79,197.5,106649044,TSLA,Tesla Inc.,EV,,,,,199.48,199.667,-0.187,-0.0374,-0.1496,,,,,,,-106649044,-0.011709,,,-0.011778,,199.84,,,
2021-01-06,193.16,193.94,191.52,192.49,38419055,TSLA,Tesla Inc.,EV,,,,,198.405,199.135,-0.73,-0.1759,-0.5541,,,,,,,-145068099,-0.025367,,,-0.025694,,197.5,199.84,,
2021-01-07,199.28,200.53,197.86,199.42,113541710,TSLA,Tesla Inc.,EV,,,,,198.561,199.156,-0.595,-0.2597,-0.3353,,,,,,,-31526389,0.036002,,,0.035369,,192.49,197.5,199.84,
2021-01-08,204.27,204.67,203.36,203.78,56580873,TSLA,Tesla Inc.,EV,198.606,,,,199.364,199.499,-0.135,-0.2348,0.0998,,,,,,,25054484,0.021863,,,0.021628,,199.42,192.49,197.5,
2021-01-11,197.39,198.13,196.67,197.62,38769716,TSLA,Tesla Inc.,EV,198.162,,,,199.096,199.36,-0.264,-0.2406,-0.0234,,,,,,,-13715232,-0.030229,-0.011109,,-0.030695,,203.78,199.42,192.49,199.84
2021-01-12,198.77,201.67,197.33,199.59,75796028,TSLA,Tesla Inc.,EV,198.58,,,,199.172,199.377,-0.205,-0.2335,0.0285,,,,,,,62080796,0.009969,0.010582,,0.009919,,197.62,203.78,199.42,197.5
2021-01-13,199.21,202.37,197.09,200.04,45595359,TSLA,Tesla Inc.,EV,200.09,,,,199.305,199.426,-0.121,-0.211,0.09,,,,,,,107676155,0.002255,0.039223,,0.002252,,199.59,197.62,203.78,192.49
2021-01-14,198.86,199.83,197.43,198.58,83273668,TSLA,Tesla Inc.,EV,199.922,,,,199.194,199.363,-0.169,-0.2026,0.0336,,,,,,,24402487,-0.007299,-0.004212,,-0.007325,,200.04,199.59,197.62,199.42
2021-01-15,195.16,198.1,193.56,196.26,37510460,TSLA,Tesla Inc.,EV,198.418,,,,198.742,199.133,-0.391,-0.2403,-0.1507,,,,,,,-13107973,-0.011683,-0.036903,,-0.011752,,198.58,200.04,199.59,203.78
